"Indicator","Time","Value (USD/UAH)"
"Currency","2015/11/02",23.05
"Currency","2015/11/01",22.95
"Currency","2015/10/30",22.95
"Currency","2015/10/29",23.35
"Currency","2015/10/28",22.98
"Currency","2015/10/27",22.89
"Currency","2015/10/26",22.70
"Currency","2015/10/25",22.75
"Currency","2015/10/23",22.75
"Currency","2015/10/22",22.35
"Currency","2015/10/21",22.25
"Currency","2015/10/20",22.24
"Currency","2015/10/19",21.60
"Currency","2015/10/18",21.28
"Currency","2015/10/16",21.28
"Currency","2015/10/15",21.75
"Currency","2015/10/14",21.50
"Currency","2015/10/13",21.50
"Currency","2015/10/12",21.70
"Currency","2015/10/09",21.85
"Currency","2015/10/08",21.27
"Currency","2015/10/07",21.27
"Currency","2015/10/06",21.27
"Currency","2015/10/05",21.22
"Currency","2015/10/04",21.15
"Currency","2015/10/02",21.15
"Currency","2015/10/01",21.06
"Currency","2015/09/30",21.20
"Currency","2015/09/29",21.47
"Currency","2015/09/28",21.50
"Currency","2015/09/27",21.56
"Currency","2015/09/26",21.56
"Currency","2015/09/25",21.56
"Currency","2015/09/24",21.42
"Currency","2015/09/23",21.20
"Currency","2015/09/22",21.73
"Currency","2015/09/21",21.70
"Currency","2015/09/20",21.80
"Currency","2015/09/18",21.80
"Currency","2015/09/17",21.50
"Currency","2015/09/16",21.75
"Currency","2015/09/15",22.05
"Currency","2015/09/14",21.97
"Currency","2015/09/13",21.80
"Currency","2015/09/11",21.80
"Currency","2015/09/10",21.70
"Currency","2015/09/09",22.10
"Currency","2015/09/08",22.20
"Currency","2015/09/07",22.00
"Currency","2015/09/06",22.05
"Currency","2015/09/04",22.05
"Currency","2015/09/03",22.06
"Currency","2015/09/02",22.15
"Currency","2015/09/01",21.85
"Currency","2015/08/31",22.25
"Currency","2015/08/30",21.20
"Currency","2015/08/28",21.20
"Currency","2015/08/27",21.15
"Currency","2015/08/26",21.80
"Currency","2015/08/25",22.61
"Currency","2015/08/24",22.23
"Currency","2015/08/21",22.23
"Currency","2015/08/20",22.18
"Currency","2015/08/19",22.18
"Currency","2015/08/18",22.10
"Currency","2015/08/17",22.30
"Currency","2015/08/14",22.04
"Currency","2015/08/13",21.45
"Currency","2015/08/12",21.35
"Currency","2015/08/11",21.60
"Currency","2015/08/10",21.45
"Currency","2015/08/07",21.13
"Currency","2015/08/05",21.11
"Currency","2015/08/04",20.97
