"Indicator","Time","Value (USD/TJS)"
"Currency","2016/01/15",7.38
"Currency","2016/01/14",7.35
"Currency","2016/01/13",7.32
"Currency","2016/01/12",7.29
"Currency","2016/01/11",7.26
"Currency","2016/01/10",7.23
"Currency","2016/01/08",7.23
"Currency","2016/01/07",7.17
"Currency","2016/01/06",7.17
"Currency","2016/01/05",7.11
"Currency","2016/01/04",7.11
"Currency","2016/01/01",6.99
"Currency","2015/12/31",6.99
"Currency","2015/12/30",6.98
"Currency","2015/12/29",6.97
"Currency","2015/12/28",6.96
"Currency","2015/12/25",6.92
"Currency","2015/12/24",6.92
"Currency","2015/12/23",6.90
"Currency","2015/12/22",6.90
"Currency","2015/12/21",6.89
"Currency","2015/12/20",6.86
"Currency","2015/12/18",6.86
"Currency","2015/12/17",6.85
"Currency","2015/12/16",6.84
"Currency","2015/12/15",6.83
"Currency","2015/12/14",6.82
"Currency","2015/12/11",6.81
"Currency","2015/12/10",6.79
"Currency","2015/12/09",6.79
"Currency","2015/12/08",6.78
"Currency","2015/12/07",6.77
"Currency","2015/12/06",6.76
"Currency","2015/12/04",6.76
"Currency","2015/12/03",6.75
"Currency","2015/12/02",6.74
"Currency","2015/12/01",6.71
"Currency","2015/11/30",6.72
"Currency","2015/11/28",6.71
"Currency","2015/11/27",6.61
"Currency","2015/11/26",6.70
"Currency","2015/11/25",6.69
"Currency","2015/11/24",6.67
"Currency","2015/11/23",6.67
"Currency","2015/11/20",6.67
"Currency","2015/11/19",6.66
"Currency","2015/11/18",6.64
"Currency","2015/11/17",6.64
"Currency","2015/11/16",6.64
"Currency","2015/11/13",6.64
"Currency","2015/11/12",6.64
"Currency","2015/11/11",6.64
"Currency","2015/11/10",6.63
"Currency","2015/11/09",6.63
"Currency","2015/11/08",6.63
"Currency","2015/11/06",6.63
"Currency","2015/11/05",6.63
"Currency","2015/11/04",6.62
"Currency","2015/11/03",6.62
"Currency","2015/11/02",6.62
"Currency","2015/11/01",6.62
"Currency","2015/10/30",6.62
"Currency","2015/10/29",6.62
"Currency","2015/10/28",6.62
"Currency","2015/10/27",6.61
"Currency","2015/10/26",6.61
"Currency","2015/10/25",6.60
"Currency","2015/10/23",6.60
"Currency","2015/10/22",6.59
"Currency","2015/10/21",6.56
"Currency","2015/10/20",6.56
"Currency","2015/10/19",6.51
"Currency","2015/10/18",6.56
"Currency","2015/10/16",6.56
"Currency","2015/10/15",6.56
"Currency","2015/10/14",6.55
"Currency","2015/10/13",6.53
"Currency","2015/10/12",6.53
"Currency","2015/10/09",6.52
"Currency","2015/10/08",6.51
"Currency","2015/10/07",6.49
"Currency","2015/10/06",6.49
"Currency","2015/10/05",6.48
"Currency","2015/10/04",6.47
"Currency","2015/10/02",6.46
"Currency","2015/10/01",6.46
"Currency","2015/09/30",6.46
"Currency","2015/09/29",6.45
"Currency","2015/09/28",6.43
"Currency","2015/09/27",6.43
"Currency","2015/09/26",6.43
"Currency","2015/09/25",6.43
"Currency","2015/09/24",6.42
"Currency","2015/09/23",6.42
"Currency","2015/09/22",6.42
"Currency","2015/09/21",6.41
"Currency","2015/09/20",6.40
"Currency","2015/09/18",6.40
"Currency","2015/09/17",6.39
"Currency","2015/09/16",6.38
"Currency","2015/09/15",6.37
"Currency","2015/09/14",6.37
"Currency","2015/09/13",6.36
"Currency","2015/09/11",6.36
"Currency","2015/09/10",6.36
"Currency","2015/09/09",6.35
"Currency","2015/09/08",6.35
"Currency","2015/09/07",6.35
"Currency","2015/09/06",6.34
"Currency","2015/09/04",6.34
"Currency","2015/09/03",6.34
"Currency","2015/09/02",6.33
"Currency","2015/09/01",6.33
"Currency","2015/08/31",6.32
"Currency","2015/08/30",6.32
"Currency","2015/08/28",6.32
"Currency","2015/08/27",6.31
"Currency","2015/08/26",6.31
"Currency","2015/08/25",6.31
"Currency","2015/08/24",6.30
"Currency","2015/08/21",6.30
"Currency","2015/08/20",6.30
"Currency","2015/08/19",6.28
"Currency","2015/08/18",6.28
"Currency","2015/08/17",6.28
"Currency","2015/08/14",6.28
"Currency","2015/08/13",6.27
"Currency","2015/08/12",6.27
"Currency","2015/08/11",6.26
"Currency","2015/08/10",6.26
"Currency","2015/08/07",6.26
"Currency","2015/08/06",6.27
"Currency","2015/08/05",6.26
"Currency","2015/08/04",6.26
"Currency","2015/08/03",6.27
"Currency","2015/07/31",6.26
"Currency","2015/07/30",6.26
"Currency","2015/07/29",6.26
"Currency","2015/07/28",6.26
"Currency","2015/07/27",6.26
"Currency","2015/07/24",6.26
"Currency","2015/07/23",6.26
"Currency","2015/07/22",6.26
"Currency","2015/07/21",6.26
"Currency","2015/07/20",6.26
"Currency","2015/07/17",6.26
"Currency","2015/07/16",6.26
"Currency","2015/07/15",6.26
"Currency","2015/07/14",6.26
"Currency","2015/07/13",6.26
"Currency","2015/07/12",6.26
"Currency","2015/07/10",6.26
"Currency","2015/07/09",6.26
"Currency","2015/07/08",6.26
"Currency","2015/07/07",6.26
"Currency","2015/07/06",6.26
"Currency","2015/07/04",6.26
"Currency","2015/07/03",6.26
"Currency","2015/07/02",6.26
"Currency","2015/07/01",6.26
"Currency","2015/06/30",6.26
"Currency","2015/06/29",6.26
"Currency","2015/06/26",6.26
"Currency","2015/06/25",6.26
"Currency","2015/06/24",6.25
"Currency","2015/06/23",6.25
"Currency","2015/06/22",6.26
"Currency","2015/06/19",6.26
"Currency","2015/06/18",6.26
"Currency","2015/06/17",6.25
"Currency","2015/06/16",6.25
"Currency","2015/06/15",6.25
"Currency","2015/06/12",6.26
"Currency","2015/06/11",6.26
"Currency","2015/06/10",6.26
"Currency","2015/06/09",6.26
"Currency","2015/06/08",6.26
"Currency","2015/06/05",6.26
"Currency","2015/06/04",6.26
"Currency","2015/06/03",6.26
"Currency","2015/06/02",6.26
"Currency","2015/06/01",6.26
"Currency","2015/05/29",6.26
"Currency","2015/05/28",6.26
"Currency","2015/05/27",6.26
"Currency","2015/05/26",6.26
"Currency","2015/05/25",6.28
"Currency","2015/05/22",6.28
"Currency","2015/05/21",6.28
"Currency","2015/05/20",6.28
"Currency","2015/05/19",6.28
"Currency","2015/05/18",6.28
"Currency","2015/05/15",6.28
"Currency","2015/05/14",6.28
"Currency","2015/05/13",6.29
"Currency","2015/05/12",6.29
"Currency","2015/05/11",6.28
"Currency","2015/05/08",6.28
"Currency","2015/05/07",6.29
"Currency","2015/05/06",6.29
"Currency","2015/05/05",6.29
"Currency","2015/05/04",6.24
"Currency","2015/05/01",6.24
"Currency","2015/04/30",6.24
"Currency","2015/04/29",6.24
"Currency","2015/04/28",6.13
"Currency","2015/04/27",6.13
"Currency","2015/04/24",6.13
"Currency","2015/04/23",6.13
"Currency","2015/04/22",6.13
"Currency","2015/04/21",6.13
"Currency","2015/04/20",6.13
"Currency","2015/04/17",6.12
"Currency","2015/04/16",6.07
"Currency","2015/04/15",6.03
"Currency","2015/04/14",6.01
"Currency","2015/04/13",6.02
"Currency","2015/04/10",6.00
"Currency","2015/04/09",5.98
"Currency","2015/04/08",5.98
"Currency","2015/04/07",5.94
"Currency","2015/04/06",5.94
"Currency","2015/04/03",5.90
"Currency","2015/04/02",5.90
"Currency","2015/04/01",5.90
"Currency","2015/03/31",5.98
