"Indicator","Time","Value (USD/SYP)"
"Currency","2016/02/04",219.88
"Currency","2016/02/03",219.88
"Currency","2016/02/02",219.88
"Currency","2016/02/01",219.90
"Currency","2016/01/29",219.90
"Currency","2016/01/28",219.90
"Currency","2016/01/27",219.90
"Currency","2016/01/26",219.90
"Currency","2016/01/25",219.90
"Currency","2016/01/22",219.90
"Currency","2016/01/21",219.92
"Currency","2016/01/20",219.96
"Currency","2016/01/19",219.96
"Currency","2016/01/18",220.02
"Currency","2016/01/15",220.02
"Currency","2016/01/14",220.02
"Currency","2016/01/13",220.11
"Currency","2016/01/12",220.11
"Currency","2016/01/11",220.11
"Currency","2016/01/10",220.11
"Currency","2016/01/08",220.11
"Currency","2016/01/07",220.27
"Currency","2016/01/06",220.27
"Currency","2016/01/05",220.49
"Currency","2016/01/04",220.49
"Currency","2016/01/01",220.49
"Currency","2015/12/31",220.49
"Currency","2015/12/30",220.49
"Currency","2015/12/29",220.49
"Currency","2015/12/28",220.49
"Currency","2015/12/25",220.49
"Currency","2015/12/24",220.49
"Currency","2015/12/23",220.49
"Currency","2015/12/22",220.49
"Currency","2015/12/21",220.49
"Currency","2015/12/20",220.49
"Currency","2015/12/18",220.49
"Currency","2015/12/17",220.61
"Currency","2015/12/16",220.61
"Currency","2015/12/15",220.72
"Currency","2015/12/14",220.72
"Currency","2015/12/11",220.89
"Currency","2015/12/10",220.89
"Currency","2015/12/09",220.89
"Currency","2015/12/08",221.01
"Currency","2015/12/07",221.19
"Currency","2015/12/06",221.19
"Currency","2015/12/04",221.19
"Currency","2015/12/03",221.19
"Currency","2015/12/02",221.39
"Currency","2015/12/01",221.39
"Currency","2015/11/30",221.01
"Currency","2015/11/27",220.80
"Currency","2015/11/26",221.01
"Currency","2015/11/25",221.01
"Currency","2015/11/24",221.01
"Currency","2015/11/23",221.01
"Currency","2015/11/20",221.01
"Currency","2015/11/19",221.01
"Currency","2015/11/18",221.01
"Currency","2015/11/17",221.01
"Currency","2015/11/16",221.01
"Currency","2015/11/13",221.01
"Currency","2015/11/12",221.05
"Currency","2015/11/11",221.01
"Currency","2015/11/10",221.01
"Currency","2015/11/09",253.28
"Currency","2015/11/08",188.82
"Currency","2015/11/06",188.82
"Currency","2015/11/05",188.82
"Currency","2015/11/04",188.82
"Currency","2015/11/03",188.82
"Currency","2015/11/02",221.10
"Currency","2015/10/30",220.80
"Currency","2015/10/29",220.85
"Currency","2015/10/28",220.85
"Currency","2015/10/27",220.60
"Currency","2015/10/26",220.60
"Currency","2015/10/23",220.30
"Currency","2015/10/22",220.45
"Currency","2015/10/21",221.24
"Currency","2015/10/20",221.30
"Currency","2015/10/19",221.05
"Currency","2015/10/16",221.05
"Currency","2015/10/15",221.33
"Currency","2015/10/14",221.15
"Currency","2015/10/13",221.30
"Currency","2015/10/12",221.05
"Currency","2015/10/09",221.07
"Currency","2015/10/08",221.10
"Currency","2015/10/07",220.85
"Currency","2015/10/06",220.85
"Currency","2015/10/05",220.55
"Currency","2015/10/02",220.55
"Currency","2015/10/01",220.65
"Currency","2015/09/30",220.70
"Currency","2015/09/29",220.80
"Currency","2015/09/28",220.70
"Currency","2015/09/25",220.75
"Currency","2015/09/24",220.80
"Currency","2015/09/23",221.04
"Currency","2015/09/22",220.85
"Currency","2015/09/21",220.60
"Currency","2015/09/18",220.70
"Currency","2015/09/17",220.65
"Currency","2015/09/16",220.75
"Currency","2015/09/15",221.03
"Currency","2015/09/14",220.70
"Currency","2015/09/11",220.60
"Currency","2015/09/10",220.65
"Currency","2015/09/09",220.35
"Currency","2015/09/08",220.45
