"Indicator","Time","Value (USD/COP)"
"Currency","2015/08/03",2918.05
"Currency","2015/07/31",2880.00
"Currency","2015/07/30",2877.19
"Currency","2015/07/29",2848.15
"Currency","2015/07/28",2862.64
"Currency","2015/07/27",2860.61
"Currency","2015/07/24",2852.72
"Currency","2015/07/23",2832.22
"Currency","2015/07/22",2790.33
"Currency","2015/07/21",2769.11
"Currency","2015/07/20",2764.21
"Currency","2015/07/17",2759.10
"Currency","2015/07/16",2723.31
"Currency","2015/07/15",2715.74
"Currency","2015/07/14",2684.92
"Currency","2015/07/13",2693.43
"Currency","2015/07/12",2673.83
"Currency","2015/07/10",2673.83
"Currency","2015/07/09",2673.56
"Currency","2015/07/08",2683.46
"Currency","2015/07/07",2692.72
"Currency","2015/07/06",2672.50
"Currency","2015/07/04",2645.52
"Currency","2015/07/03",2636.50
"Currency","2015/07/02",2635.97
"Currency","2015/07/01",2640.80
"Currency","2015/06/30",2605.21
"Currency","2015/06/29",2589.31
"Currency","2015/06/26",2584.37
"Currency","2015/06/25",2560.57
"Currency","2015/06/24",2558.67
"Currency","2015/06/23",2552.32
"Currency","2015/06/22",2535.12
"Currency","2015/06/19",2554.50
