"Indicator","Time","Value (USD/BOB)"
"Currency","2015/09/02",6.91
"Currency","2015/09/01",6.90
"Currency","2015/08/31",6.91
"Currency","2015/08/30",6.90
"Currency","2015/08/28",6.90
"Currency","2015/08/27",6.90
"Currency","2015/08/26",6.89
"Currency","2015/08/25",6.89
"Currency","2015/08/24",6.89
"Currency","2015/08/21",6.89
"Currency","2015/08/20",6.89
"Currency","2015/08/19",6.89
"Currency","2015/08/18",6.89
"Currency","2015/08/17",6.89
"Currency","2015/08/14",6.89
"Currency","2015/08/13",6.88
"Currency","2015/08/12",6.88
"Currency","2015/08/11",6.88
"Currency","2015/08/10",6.88
"Currency","2015/08/07",6.88
"Currency","2015/08/06",6.89
"Currency","2015/08/05",6.70
"Currency","2015/08/04",6.80
"Currency","2015/08/03",6.80
"Currency","2015/07/31",6.73
"Currency","2015/07/30",6.73
"Currency","2015/07/29",6.71
"Currency","2015/07/28",6.71
"Currency","2015/07/27",6.72
"Currency","2015/07/24",6.72
"Currency","2015/07/23",6.72
"Currency","2015/07/22",6.72
"Currency","2015/07/21",6.72
"Currency","2015/07/20",6.75
"Currency","2015/07/17",6.71
"Currency","2015/07/16",6.72
"Currency","2015/07/15",6.71
"Currency","2015/07/14",6.71
"Currency","2015/07/13",6.71
"Currency","2015/07/12",6.89
"Currency","2015/07/10",6.72
"Currency","2015/07/09",6.72
"Currency","2015/07/08",6.73
"Currency","2015/07/07",6.73
"Currency","2015/07/06",6.72
"Currency","2015/07/04",6.90
"Currency","2015/07/03",6.71
"Currency","2015/07/02",6.72
"Currency","2015/07/01",6.73
"Currency","2015/06/30",6.72
"Currency","2015/06/29",6.72
"Currency","2015/06/26",6.72
"Currency","2015/06/25",6.72
"Currency","2015/06/24",6.72
"Currency","2015/06/23",6.70
"Currency","2015/06/22",6.69
"Currency","2015/06/19",6.72
"Currency","2015/06/18",6.72
"Currency","2015/06/17",6.72
"Currency","2015/06/16",6.73
"Currency","2015/06/15",6.72
"Currency","2015/06/12",6.72
"Currency","2015/06/11",6.72
"Currency","2015/06/10",6.72
"Currency","2015/06/09",6.73
"Currency","2015/06/08",6.73
"Currency","2015/06/05",6.73
"Currency","2015/06/04",6.73
"Currency","2015/06/03",6.72
"Currency","2015/06/02",6.73
"Currency","2015/06/01",6.72
"Currency","2015/05/29",6.73
"Currency","2015/05/28",6.72
"Currency","2015/05/27",6.72
"Currency","2015/05/26",6.73
"Currency","2015/05/25",6.73
"Currency","2015/05/22",6.73
"Currency","2015/05/21",6.72
"Currency","2015/05/20",6.73
"Currency","2015/05/19",6.74
"Currency","2015/05/18",6.73
"Currency","2015/05/15",6.74
"Currency","2015/05/14",6.73
"Currency","2015/05/13",6.74
"Currency","2015/05/12",6.73
"Currency","2015/05/11",6.73
"Currency","2015/05/08",6.74
"Currency","2015/05/07",6.72
"Currency","2015/05/05",6.72
"Currency","2015/05/04",6.71
"Currency","2015/05/01",6.73
"Currency","2015/04/30",6.73
"Currency","2015/04/29",6.73
"Currency","2015/04/28",6.71
"Currency","2015/04/27",6.69
"Currency","2015/04/24",6.71
"Currency","2015/04/23",6.72
"Currency","2015/04/22",6.71
"Currency","2015/04/21",6.72
"Currency","2015/04/20",6.73
"Currency","2015/04/17",6.69
"Currency","2015/04/16",6.72
"Currency","2015/04/15",6.72
"Currency","2015/04/14",6.72
"Currency","2015/04/13",6.71
"Currency","2015/04/10",6.71
"Currency","2015/04/09",6.73
"Currency","2015/04/08",6.72
"Currency","2015/04/07",6.63
"Currency","2015/04/06",6.69
"Currency","2015/04/03",6.69
"Currency","2015/04/02",6.72
"Currency","2015/04/01",6.73
"Currency","2015/03/31",6.72
