"Indicator","Time","Value (USD/BDT)"
"Currency","2016/02/17",78.59
"Currency","2016/02/16",78.50
"Currency","2016/02/15",78.42
"Currency","2016/02/12",78.69
"Currency","2016/02/11",78.71
"Currency","2016/02/10",78.83
"Currency","2016/02/09",78.28
"Currency","2016/02/08",78.71
"Currency","2016/02/05",78.62
"Currency","2016/02/04",78.61
"Currency","2016/02/03",78.73
"Currency","2016/02/02",78.43
"Currency","2016/02/01",78.27
"Currency","2016/01/29",78.42
"Currency","2016/01/28",78.28
"Currency","2016/01/27",78.30
"Currency","2016/01/26",78.17
"Currency","2016/01/25",78.26
"Currency","2016/01/22",78.54
"Currency","2016/01/21",78.80
"Currency","2016/01/20",78.61
"Currency","2016/01/19",78.15
"Currency","2016/01/18",78.50
"Currency","2016/01/15",78.52
"Currency","2016/01/14",78.53
"Currency","2016/01/13",78.07
"Currency","2016/01/12",78.44
"Currency","2016/01/11",78.67
"Currency","2016/01/10",78.45
"Currency","2016/01/08",78.45
"Currency","2016/01/07",78.02
"Currency","2016/01/06",78.20
"Currency","2016/01/05",78.82
"Currency","2016/01/04",78.19
"Currency","2016/01/01",78.68
"Currency","2015/12/31",78.72
"Currency","2015/12/30",78.20
"Currency","2015/12/29",78.26
"Currency","2015/12/28",78.63
"Currency","2015/12/25",78.40
"Currency","2015/12/24",78.40
"Currency","2015/12/23",78.57
"Currency","2015/12/22",78.52
"Currency","2015/12/21",77.84
"Currency","2015/12/18",77.99
"Currency","2015/12/17",79.45
"Currency","2015/12/16",78.26
"Currency","2015/12/15",78.76
"Currency","2015/12/14",78.86
"Currency","2015/12/11",78.96
"Currency","2015/12/10",78.91
"Currency","2015/12/09",78.93
"Currency","2015/12/08",78.95
"Currency","2015/12/07",79.13
"Currency","2015/12/06",78.27
"Currency","2015/12/04",79.03
"Currency","2015/12/03",79.10
"Currency","2015/12/02",79.02
"Currency","2015/12/01",79.00
"Currency","2015/11/30",79.45
"Currency","2015/11/29",77.28
"Currency","2015/11/28",77.28
"Currency","2015/11/27",78.59
"Currency","2015/11/26",79.25
"Currency","2015/11/25",78.98
"Currency","2015/11/24",78.94
"Currency","2015/11/23",79.34
"Currency","2015/11/20",78.63
"Currency","2015/11/19",78.63
"Currency","2015/11/18",80.00
"Currency","2015/11/17",80.20
"Currency","2015/11/16",80.20
"Currency","2015/11/13",78.35
"Currency","2015/11/12",79.01
"Currency","2015/11/11",78.37
"Currency","2015/11/10",78.85
"Currency","2015/11/09",78.23
"Currency","2015/11/08",78.21
"Currency","2015/11/06",78.21
"Currency","2015/11/05",78.25
"Currency","2015/11/04",78.16
"Currency","2015/11/03",78.20
"Currency","2015/11/02",78.18
"Currency","2015/11/01",77.75
"Currency","2015/10/30",77.82
"Currency","2015/10/29",77.82
"Currency","2015/10/28",77.82
"Currency","2015/10/27",77.82
"Currency","2015/10/26",77.82
"Currency","2015/10/25",77.91
"Currency","2015/10/23",77.78
"Currency","2015/10/22",77.78
"Currency","2015/10/21",77.78
"Currency","2015/10/20",77.78
"Currency","2015/10/19",77.78
"Currency","2015/10/18",77.80
"Currency","2015/10/16",77.78
"Currency","2015/10/15",77.78
"Currency","2015/10/14",77.78
"Currency","2015/10/13",77.78
"Currency","2015/10/12",77.78
"Currency","2015/10/09",77.78
"Currency","2015/10/08",77.78
"Currency","2015/10/07",77.78
"Currency","2015/10/06",77.78
"Currency","2015/10/05",77.78
"Currency","2015/10/04",77.87
"Currency","2015/10/02",77.87
"Currency","2015/10/01",77.86
"Currency","2015/09/30",77.72
"Currency","2015/09/29",77.79
"Currency","2015/09/28",77.87
"Currency","2015/09/27",77.92
"Currency","2015/09/26",77.92
"Currency","2015/09/25",77.92
"Currency","2015/09/24",77.82
"Currency","2015/09/23",77.87
"Currency","2015/09/22",77.70
"Currency","2015/09/21",77.85
"Currency","2015/09/20",77.82
"Currency","2015/09/18",77.82
"Currency","2015/09/17",77.85
"Currency","2015/09/16",77.85
"Currency","2015/09/15",77.83
"Currency","2015/09/14",77.92
"Currency","2015/09/13",77.92
"Currency","2015/09/11",77.92
"Currency","2015/09/10",77.90
"Currency","2015/09/09",77.76
"Currency","2015/09/08",77.83
"Currency","2015/09/07",77.87
"Currency","2015/09/06",77.86
"Currency","2015/09/04",77.86
"Currency","2015/09/03",77.83
"Currency","2015/09/02",77.85
"Currency","2015/09/01",77.82
"Currency","2015/08/31",77.79
"Currency","2015/08/30",77.85
